"Ноутбук Xiaomi RedmiBook Pro 14 R7/16/512/W11 (JYU4400CN)",https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-14-r7-16-512-w11-jyu4400cn.html,"29 999 ₴"
"Ноутбук ASUS Vivobook Go 15 E1504FA-BQ756 (90NB0ZR1-M018E0)",https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-go-15-e1504fa-bq756-90nb0zr1-m018e0.html,"25 999 ₴"
"Ноутбук Lenovo IdeaPad Slim 3 15IAH8 (83ER00AGRA)",https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-3-15iah8-83er00agra.html,"27 999 ₴"
"Ноутбук Acer Aspire 5 15 A515-48M-R1A1 (NX.KJ9EU.00S)",https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-5-15-a515-48m-r1a1-nx-kj9eu-00s.html,"21 999 ₴"
"Ноутбук Xiaomi RedmiBook Pro 14 2024 Ul5/32GB/1T (JYU4597CN)",https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-14-2024-ul5-32gb-1t-jyu4597cn.html,"29 999 ₴"
"Ноутбук ASUS TUF Gaming FA506NF-HN033 (90NR0JE7-M004K0) + Рюкзак TUF Gaming backpack в комплекті",https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-fa506nf-hn033-90nr0je7-m004k0.html,"23 999 ₴"
"Ноутбук Apple MacBook Air 13 M1 (MGN63) Space Grey",https://allo.ua/ua/products/notebooks/apple-macbook-air-13-m1-mgn63-space-grey.html,"25 999 ₴"
"Ноутбук ігровий Lenovo LOQ 15IAX9 (83GS0010RA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-lenovo-loq-15iax9-83gs0010ra.html,"23 999 ₴"
"Ноутбук ігровий ACER Nitro V15 ANV15-41 (NH.QSHEU.002)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-acer-nitro-v15-anv15-41-nh-qsheu-002.html,"45 999 ₴"
"Ігровий ноутбук Acer Nitro 5 ""Open Box""",https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-acer-nitro-5-open-box-1-16737818.html,"41 999 ₴"
"Ноутбук Xiaomi RedmiBook Pro 16 2024 Ultra5/32G/1T/3.1K/165Hz (JYU4592CN)",https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-16-2024-ultra5-32g-1t-3-1k-165hz-jyu4592cn.html,"39 999 ₴"
"Ноутбук Apple MacBook Air 13"" M3 8/256GB (MRXN3) Space Grey",https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-13-m3-8-256gb-mrxn3-space-grey.html,"32 499 ₴"
"Ноутбук ASUS X1502ZA-BQ643 (90NB0VX2-M00V40)",https://allo.ua/ua/products/notebooks/asus-x1502za-bq643-90nb0vx2-m00v40.html,"39 499 ₴"
"Ноутбук Lenovo IdeaPad Slim 3 15IAN8 (82XB00AFRA)",https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-3-15ian8-82xb00afra.html,"34 999 ₴"
"Ноутбук ігровий Dream Machines RG3050-15 (RG3050-15UA56)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-dream-machines-rg3050-15-rg3050-15ua56.html,"41 999 ₴"
"Ноутбук Acer Aspire 5 A515-58P-534D (NX.KHJEU.004)",https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-5-a515-58p-534d-nx-khjeu-004.html,"37 999 ₴"
"Ноутбук ігровий ASUS TUF Gaming FA506NCR-HN082 (90NR0JV7-M005Z0)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-asus-tuf-gaming-fa506ncr-hn082-90nr0jv7-m005z0.html,"49 999 ₴"
"Ноутбук ігровий Lenovo LOQ 15IAX9I (83FQ0044RA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-lenovo-loq-15iax9i-83fq0044ra.html,"34 999 ₴"
"Ноутбук Apple MacBook Air 13"" M2 256GB (MLY13) Starlight",https://allo.ua/ua/products/notebooks/apple-macbook-air-13-m2-256gb-mly13-starlight.html,"29 908 ₴"
"Ігровий ноутбук MSI GF63 THIN ""Seller Refurbished""",https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-msi-gf63-thin-open-box.html,"21 599 ₴"
"Ноутбук ASUS Vivobook 16 M1605YA-MB022 (90NB10R1-M000W0)",https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-16-m1605ya-mb022-90nb10r1-m000w0.html,"49 999 ₴"
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00QRRA)",https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-1-15amn7-82vg00qrra.html,"44 999 ₴"
"Ноутбук ASUS TUF Gaming F15 FX507VU-LP174 (90NR0CJ7-M00J10)",https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-f15-fx507vu-lp174-90nr0cj7-m00j10.html,"55 499 ₴"
"Ноутбук ігровий Lenovo LOQ 15APH8 (82XT00FGRA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-lenovo-loq-15aph8-82xt00fgra.html,"48 999 ₴"
"Ноутбук Acer Aspire 3 A315-44P-R3FN (NX.KSJEU.003)",https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-3-a315-44p-r3fn-nx-ksjeu-003.html,"29 999 ₴"
"Ноутбук ігровий Dream Machines RG4050-15 (RG4050-15UA42)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-dream-machines-rg4050-15-rg4050-15ua42.html,"22 999 ₴"
"Ноутбук ігровий HP Victus 16-s1007ua (A31WCEA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-hp-victus-16-s1007ua-a31wcea.html,"21 999 ₴"
"Ноутбук MSI CYBORG 15 (A12VF-1064XUA)",https://allo.ua/ua/products/notebooks/noutbuk-msi-cyborg-15-a12vf-1064xua.html,"17 499 ₴"
